[08/11 09:05:36][INFO] __main__:  241: Config: config/frame_selector/ssv2_bimhm_cache.yaml
[08/11 09:05:36][INFO] __main__:  242: Cache dir: data/feat_cache/ssv2/ViT-B-16_T32
[08/11 09:05:36][INFO] __main__:  243: Tag: ViT-B-16_T32 | Storage: FP16
[08/11 09:05:36][INFO] __main__:  248: Loading ViT-B/16 on cuda...
[08/11 09:05:37][INFO] __main__:  256: Backbone loaded: 86,192,640 params (frozen)
[08/11 09:05:37][INFO] __main__:  261: Using specified splits: ['train', 'val', 'test']
[08/11 09:05:37][INFO] __main__:  101: [train] 67013 videos 鈫?extracting CLIP features...
[08/11 09:05:40][INFO] __main__:  152:   [train] 100/67013 (+100 / skipped 0 / err 0) | 29.4 v/s | ETA 0:37:59
[08/11 09:07:45][INFO] __main__:  152:   [train] 4100/67013 (+4100 / skipped 0 / err 0) | 32.1 v/s | ETA 0:32:40
[08/11 09:07:48][INFO] __main__:  152:   [train] 4200/67013 (+4200 / skipped 0 / err 0) | 32.1 v/s | ETA 0:32:37
[08/11 09:07:51][INFO] __main__:  152:   [train] 4300/67013 (+4300 / skipped 0 / err 0) | 32.1 v/s | ETA 0:32:34
[08/11 09:07:54][INFO] __main__:  152:   [train] 4400/67013 (+4400 / skipped 0 / err 0) | 32.1 v/s | ETA 0:32:31
[08/11 09:07:57][INFO] __main__:  152:   [train] 4500/67013 (+4500 / skipped 0 / err 0) | 32.1 v/s | ETA 0:32:28
[08/11 09:08:00][INFO] __main__:  152:   [train] 4600/67013 (+4600 / skipped 0 / err 0) | 32.1 v/s | ETA 0:32:24
[08/11 09:08:03][INFO] __main__:  152:   [train] 4700/67013 (+4700 / skipped 0 / err 0) | 32.1 v/s | ETA 0:32:21
[08/11 09:08:07][INFO] __main__:  152:   [train] 4800/67013 (+4800 / skipped 0 / err 0) | 32.1 v/s | ETA 0:32:18
[08/11 09:08:10][INFO] __main__:  152:   [train] 4900/67013 (+4900 / skipped 0 / err 0) | 32.1 v/s | ETA 0:32:15
[08/11 09:08:13][INFO] __main__:  152:   [train] 5000/67013 (+5000 / skipped 0 / err 0) | 32.1 v/s | ETA 0:32:12
[08/11 09:08:16][INFO] __main__:  152:   [train] 5100/67013 (+5100 / skipped 0 / err 0) | 32.1 v/s | ETA 0:32:09
[08/11 09:08:19][INFO] __main__:  152:   [train] 5200/67013 (+5200 / skipped 0 / err 0) | 32.1 v/s | ETA 0:32:05
[08/11 09:08:22][INFO] __main__:  152:   [train] 5300/67013 (+5300 / skipped 0 / err 0) | 32.1 v/s | ETA 0:32:02
[08/11 09:08:25][INFO] __main__:  152:   [train] 5400/67013 (+5400 / skipped 0 / err 0) | 32.1 v/s | ETA 0:31:59
[08/11 09:08:28][INFO] __main__:  152:   [train] 5500/67013 (+5500 / skipped 0 / err 0) | 32.1 v/s | ETA 0:31:56
[08/11 09:08:31][INFO] __main__:  152:   [train] 5600/67013 (+5600 / skipped 0 / err 0) | 32.1 v/s | ETA 0:31:53
[08/11 09:08:35][INFO] __main__:  152:   [train] 5700/67013 (+5700 / skipped 0 / err 0) | 32.1 v/s | ETA 0:31:50
[08/11 09:08:38][INFO] __main__:  152:   [train] 5800/67013 (+5800 / skipped 0 / err 0) | 32.1 v/s | ETA 0:31:47
[08/11 09:08:41][INFO] __main__:  152:   [train] 5900/67013 (+5900 / skipped 0 / err 0) | 32.1 v/s | ETA 0:31:43
[08/11 09:08:44][INFO] __main__:  152:   [train] 6000/67013 (+6000 / skipped 0 / err 0) | 32.1 v/s | ETA 0:31:40
[08/11 09:08:47][INFO] __main__:  152:   [train] 6100/67013 (+6100 / skipped 0 / err 0) | 32.1 v/s | ETA 0:31:37
[08/11 09:08:50][INFO] __main__:  152:   [train] 6200/67013 (+6200 / skipped 0 / err 0) | 32.1 v/s | ETA 0:31:34
[08/11 09:08:53][INFO] __main__:  152:   [train] 6300/67013 (+6300 / skipped 0 / err 0) | 32.1 v/s | ETA 0:31:31
[08/11 09:08:56][INFO] __main__:  152:   [train] 6400/67013 (+6400 / skipped 0 / err 0) | 32.1 v/s | ETA 0:31:28
[08/11 09:09:00][INFO] __main__:  152:   [train] 6500/67013 (+6500 / skipped 0 / err 0) | 32.1 v/s | ETA 0:31:25
[08/11 09:09:03][INFO] __main__:  152:   [train] 6600/67013 (+6600 / skipped 0 / err 0) | 32.1 v/s | ETA 0:31:22
[08/11 09:09:06][INFO] __main__:  152:   [train] 6700/67013 (+6700 / skipped 0 / err 0) | 32.1 v/s | ETA 0:31:18
[08/11 09:09:09][INFO] __main__:  152:   [train] 6800/67013 (+6800 / skipped 0 / err 0) | 32.1 v/s | ETA 0:31:15
[08/11 09:09:12][INFO] __main__:  152:   [train] 6900/67013 (+6900 / skipped 0 / err 0) | 32.1 v/s | ETA 0:31:12
[08/11 09:09:15][INFO] __main__:  152:   [train] 7000/67013 (+7000 / skipped 0 / err 0) | 32.1 v/s | ETA 0:31:09
[08/11 09:09:18][INFO] __main__:  152:   [train] 7100/67013 (+7100 / skipped 0 / err 0) | 32.1 v/s | ETA 0:31:06
[08/11 09:09:21][INFO] __main__:  152:   [train] 7200/67013 (+7200 / skipped 0 / err 0) | 32.1 v/s | ETA 0:31:03
[08/11 09:09:24][INFO] __main__:  152:   [train] 7300/67013 (+7300 / skipped 0 / err 0) | 32.1 v/s | ETA 0:31:00
[08/11 09:09:28][INFO] __main__:  152:   [train] 7400/67013 (+7400 / skipped 0 / err 0) | 32.1 v/s | ETA 0:30:56
[08/11 09:09:31][INFO] __main__:  152:   [train] 7500/67013 (+7500 / skipped 0 / err 0) | 32.1 v/s | ETA 0:30:53
[08/11 09:09:34][INFO] __main__:  152:   [train] 7600/67013 (+7600 / skipped 0 / err 0) | 32.1 v/s | ETA 0:30:50
[08/11 09:09:37][INFO] __main__:  152:   [train] 7700/67013 (+7700 / skipped 0 / err 0) | 32.1 v/s | ETA 0:30:47
[08/11 09:09:40][INFO] __main__:  152:   [train] 7800/67013 (+7800 / skipped 0 / err 0) | 32.1 v/s | ETA 0:30:44
[08/11 09:09:43][INFO] __main__:  152:   [train] 7900/67013 (+7900 / skipped 0 / err 0) | 32.1 v/s | ETA 0:30:41
[08/11 09:09:46][INFO] __main__:  152:   [train] 8000/67013 (+8000 / skipped 0 / err 0) | 32.1 v/s | ETA 0:30:38
[08/11 09:09:49][INFO] __main__:  152:   [train] 8100/67013 (+8100 / skipped 0 / err 0) | 32.1 v/s | ETA 0:30:35
[08/11 09:09:52][INFO] __main__:  152:   [train] 8200/67013 (+8200 / skipped 0 / err 0) | 32.1 v/s | ETA 0:30:31
[08/11 09:09:56][INFO] __main__:  152:   [train] 8300/67013 (+8300 / skipped 0 / err 0) | 32.1 v/s | ETA 0:30:28
[08/11 09:09:59][INFO] __main__:  152:   [train] 8400/67013 (+8400 / skipped 0 / err 0) | 32.1 v/s | ETA 0:30:25
[08/11 09:10:02][INFO] __main__:  152:   [train] 8500/67013 (+8500 / skipped 0 / err 0) | 32.1 v/s | ETA 0:30:22
[08/11 09:10:05][INFO] __main__:  152:   [train] 8600/67013 (+8600 / skipped 0 / err 0) | 32.1 v/s | ETA 0:30:19
[08/11 09:10:08][INFO] __main__:  152:   [train] 8700/67013 (+8700 / skipped 0 / err 0) | 32.1 v/s | ETA 0:30:16
[08/11 09:10:11][INFO] __main__:  152:   [train] 8800/67013 (+8800 / skipped 0 / err 0) | 32.1 v/s | ETA 0:30:13
[08/11 09:10:14][INFO] __main__:  152:   [train] 8900/67013 (+8900 / skipped 0 / err 0) | 32.1 v/s | ETA 0:30:09
[08/11 09:10:17][INFO] __main__:  152:   [train] 9000/67013 (+9000 / skipped 0 / err 0) | 32.1 v/s | ETA 0:30:06
[08/11 09:10:20][INFO] __main__:  152:   [train] 9100/67013 (+9100 / skipped 0 / err 0) | 32.1 v/s | ETA 0:30:03
[08/11 09:10:24][INFO] __main__:  152:   [train] 9200/67013 (+9200 / skipped 0 / err 0) | 32.1 v/s | ETA 0:30:00
[08/11 09:10:27][INFO] __main__:  152:   [train] 9300/67013 (+9300 / skipped 0 / err 0) | 32.1 v/s | ETA 0:29:57
[08/11 09:10:30][INFO] __main__:  152:   [train] 9400/67013 (+9400 / skipped 0 / err 0) | 32.1 v/s | ETA 0:29:54
[08/11 09:10:33][INFO] __main__:  152:   [train] 9500/67013 (+9500 / skipped 0 / err 0) | 32.1 v/s | ETA 0:29:51
[08/11 09:10:36][INFO] __main__:  152:   [train] 9600/67013 (+9600 / skipped 0 / err 0) | 32.1 v/s | ETA 0:29:48
[08/11 09:10:39][INFO] __main__:  152:   [train] 9700/67013 (+9700 / skipped 0 / err 0) | 32.1 v/s | ETA 0:29:44
[08/11 09:10:42][INFO] __main__:  152:   [train] 9800/67013 (+9800 / skipped 0 / err 0) | 32.1 v/s | ETA 0:29:41
[08/11 09:10:45][INFO] __main__:  152:   [train] 9900/67013 (+9900 / skipped 0 / err 0) | 32.1 v/s | ETA 0:29:38
[08/11 09:10:48][INFO] __main__:  152:   [train] 10000/67013 (+10000 / skipped 0 / err 0) | 32.1 v/s | ETA 0:29:35
[08/11 09:10:52][INFO] __main__:  152:   [train] 10100/67013 (+10100 / skipped 0 / err 0) | 32.1 v/s | ETA 0:29:32
[08/11 09:10:55][INFO] __main__:  152:   [train] 10200/67013 (+10200 / skipped 0 / err 0) | 32.1 v/s | ETA 0:29:29
[08/11 09:10:58][INFO] __main__:  152:   [train] 10300/67013 (+10300 / skipped 0 / err 0) | 32.1 v/s | ETA 0:29:26
[08/11 09:11:01][INFO] __main__:  152:   [train] 10400/67013 (+10400 / skipped 0 / err 0) | 32.1 v/s | ETA 0:29:22
[08/11 09:11:04][INFO] __main__:  152:   [train] 10500/67013 (+10500 / skipped 0 / err 0) | 32.1 v/s | ETA 0:29:19
[08/11 09:11:07][INFO] __main__:  152:   [train] 10600/67013 (+10600 / skipped 0 / err 0) | 32.1 v/s | ETA 0:29:16
[08/11 09:11:10][INFO] __main__:  152:   [train] 10700/67013 (+10700 / skipped 0 / err 0) | 32.1 v/s | ETA 0:29:13
[08/11 09:11:13][INFO] __main__:  152:   [train] 10800/67013 (+10800 / skipped 0 / err 0) | 32.1 v/s | ETA 0:29:10
[08/11 09:11:16][INFO] __main__:  152:   [train] 10900/67013 (+10900 / skipped 0 / err 0) | 32.1 v/s | ETA 0:29:07
[08/11 09:11:20][INFO] __main__:  152:   [train] 11000/67013 (+11000 / skipped 0 / err 0) | 32.1 v/s | ETA 0:29:04
[08/11 09:11:23][INFO] __main__:  152:   [train] 11100/67013 (+11100 / skipped 0 / err 0) | 32.1 v/s | ETA 0:29:01
[08/11 09:11:26][INFO] __main__:  152:   [train] 11200/67013 (+11200 / skipped 0 / err 0) | 32.1 v/s | ETA 0:28:57
[08/11 09:11:29][INFO] __main__:  152:   [train] 11300/67013 (+11300 / skipped 0 / err 0) | 32.1 v/s | ETA 0:28:54
[08/11 09:11:32][INFO] __main__:  152:   [train] 11400/67013 (+11400 / skipped 0 / err 0) | 32.1 v/s | ETA 0:28:51
[08/11 09:11:35][INFO] __main__:  152:   [train] 11500/67013 (+11500 / skipped 0 / err 0) | 32.1 v/s | ETA 0:28:48
[08/11 09:11:38][INFO] __main__:  152:   [train] 11600/67013 (+11600 / skipped 0 / err 0) | 32.1 v/s | ETA 0:28:45
[08/11 09:11:41][INFO] __main__:  152:   [train] 11700/67013 (+11700 / skipped 0 / err 0) | 32.1 v/s | ETA 0:28:42
[08/11 09:11:44][INFO] __main__:  152:   [train] 11800/67013 (+11800 / skipped 0 / err 0) | 32.1 v/s | ETA 0:28:39
[08/11 09:11:48][INFO] __main__:  152:   [train] 11900/67013 (+11900 / skipped 0 / err 0) | 32.1 v/s | ETA 0:28:36
[08/11 09:11:51][INFO] __main__:  152:   [train] 12000/67013 (+12000 / skipped 0 / err 0) | 32.1 v/s | ETA 0:28:32
[08/11 09:11:54][INFO] __main__:  152:   [train] 12100/67013 (+12100 / skipped 0 / err 0) | 32.1 v/s | ETA 0:28:29
[08/11 09:11:57][INFO] __main__:  152:   [train] 12200/67013 (+12200 / skipped 0 / err 0) | 32.1 v/s | ETA 0:28:26
[08/11 09:12:00][INFO] __main__:  152:   [train] 12300/67013 (+12300 / skipped 0 / err 0) | 32.1 v/s | ETA 0:28:23
[08/11 09:12:03][INFO] __main__:  152:   [train] 12400/67013 (+12400 / skipped 0 / err 0) | 32.1 v/s | ETA 0:28:20
[08/11 09:12:06][INFO] __main__:  152:   [train] 12500/67013 (+12500 / skipped 0 / err 0) | 32.1 v/s | ETA 0:28:17
[08/11 09:12:09][INFO] __main__:  152:   [train] 12600/67013 (+12600 / skipped 0 / err 0) | 32.1 v/s | ETA 0:28:14
[08/11 09:12:12][INFO] __main__:  152:   [train] 12700/67013 (+12700 / skipped 0 / err 0) | 32.1 v/s | ETA 0:28:10
[08/11 09:12:16][INFO] __main__:  152:   [train] 12800/67013 (+12800 / skipped 0 / err 0) | 32.1 v/s | ETA 0:28:07
[08/11 09:12:19][INFO] __main__:  152:   [train] 12900/67013 (+12900 / skipped 0 / err 0) | 32.1 v/s | ETA 0:28:04
[08/11 09:12:22][INFO] __main__:  152:   [train] 13000/67013 (+13000 / skipped 0 / err 0) | 32.1 v/s | ETA 0:28:01
[08/11 09:12:25][INFO] __main__:  152:   [train] 13100/67013 (+13100 / skipped 0 / err 0) | 32.1 v/s | ETA 0:27:58
[08/11 09:12:28][INFO] __main__:  152:   [train] 13200/67013 (+13200 / skipped 0 / err 0) | 32.1 v/s | ETA 0:27:55
[08/11 09:12:31][INFO] __main__:  152:   [train] 13300/67013 (+13300 / skipped 0 / err 0) | 32.1 v/s | ETA 0:27:52
[08/11 09:12:34][INFO] __main__:  152:   [train] 13400/67013 (+13400 / skipped 0 / err 0) | 32.1 v/s | ETA 0:27:49
[08/11 09:12:37][INFO] __main__:  152:   [train] 13500/67013 (+13500 / skipped 0 / err 0) | 32.1 v/s | ETA 0:27:45
[08/11 09:12:40][INFO] __main__:  152:   [train] 13600/67013 (+13600 / skipped 0 / err 0) | 32.1 v/s | ETA 0:27:42
[08/11 09:12:44][INFO] __main__:  152:   [train] 13700/67013 (+13700 / skipped 0 / err 0) | 32.1 v/s | ETA 0:27:39
[08/11 09:12:47][INFO] __main__:  152:   [train] 13800/67013 (+13800 / skipped 0 / err 0) | 32.1 v/s | ETA 0:27:36
[08/11 09:12:50][INFO] __main__:  152:   [train] 13900/67013 (+13900 / skipped 0 / err 0) | 32.1 v/s | ETA 0:27:33
[08/11 09:12:53][INFO] __main__:  152:   [train] 14000/67013 (+14000 / skipped 0 / err 0) | 32.1 v/s | ETA 0:27:30
[08/11 09:12:56][INFO] __main__:  152:   [train] 14100/67013 (+14100 / skipped 0 / err 0) | 32.1 v/s | ETA 0:27:27
[08/11 09:12:59][INFO] __main__:  152:   [train] 14200/67013 (+14200 / skipped 0 / err 0) | 32.1 v/s | ETA 0:27:24
[08/11 09:13:02][INFO] __main__:  152:   [train] 14300/67013 (+14300 / skipped 0 / err 0) | 32.1 v/s | ETA 0:27:21
[08/11 09:13:05][INFO] __main__:  152:   [train] 14400/67013 (+14400 / skipped 0 / err 0) | 32.1 v/s | ETA 0:27:17
[08/11 09:13:08][INFO] __main__:  152:   [train] 14500/67013 (+14500 / skipped 0 / err 0) | 32.1 v/s | ETA 0:27:14
[08/11 09:13:12][INFO] __main__:  152:   [train] 14600/67013 (+14600 / skipped 0 / err 0) | 32.1 v/s | ETA 0:27:11
[08/11 09:13:15][INFO] __main__:  152:   [train] 14700/67013 (+14700 / skipped 0 / err 0) | 32.1 v/s | ETA 0:27:08
[08/11 09:13:18][INFO] __main__:  152:   [train] 14800/67013 (+14800 / skipped 0 / err 0) | 32.1 v/s | ETA 0:27:05
[08/11 09:13:21][INFO] __main__:  152:   [train] 14900/67013 (+14900 / skipped 0 / err 0) | 32.1 v/s | ETA 0:27:02
[08/11 09:13:24][INFO] __main__:  152:   [train] 15000/67013 (+15000 / skipped 0 / err 0) | 32.1 v/s | ETA 0:26:59
[08/11 09:13:27][INFO] __main__:  152:   [train] 15100/67013 (+15100 / skipped 0 / err 0) | 32.1 v/s | ETA 0:26:56
[08/11 09:13:30][INFO] __main__:  152:   [train] 15200/67013 (+15200 / skipped 0 / err 0) | 32.1 v/s | ETA 0:26:52
[08/11 09:13:33][INFO] __main__:  152:   [train] 15300/67013 (+15300 / skipped 0 / err 0) | 32.1 v/s | ETA 0:26:49
[08/11 09:13:36][INFO] __main__:  152:   [train] 15400/67013 (+15400 / skipped 0 / err 0) | 32.1 v/s | ETA 0:26:46
[08/11 09:13:40][INFO] __main__:  152:   [train] 15500/67013 (+15500 / skipped 0 / err 0) | 32.1 v/s | ETA 0:26:43
[08/11 09:13:43][INFO] __main__:  152:   [train] 15600/67013 (+15600 / skipped 0 / err 0) | 32.1 v/s | ETA 0:26:40
[08/11 09:13:46][INFO] __main__:  152:   [train] 15700/67013 (+15700 / skipped 0 / err 0) | 32.1 v/s | ETA 0:26:37
[08/11 09:13:49][INFO] __main__:  152:   [train] 15800/67013 (+15800 / skipped 0 / err 0) | 32.1 v/s | ETA 0:26:34
[08/11 09:13:52][INFO] __main__:  152:   [train] 15900/67013 (+15900 / skipped 0 / err 0) | 32.1 v/s | ETA 0:26:31
[08/11 09:13:55][INFO] __main__:  152:   [train] 16000/67013 (+16000 / skipped 0 / err 0) | 32.1 v/s | ETA 0:26:27
[08/11 09:13:58][INFO] __main__:  152:   [train] 16100/67013 (+16100 / skipped 0 / err 0) | 32.1 v/s | ETA 0:26:24
[08/11 09:14:01][INFO] __main__:  152:   [train] 16200/67013 (+16200 / skipped 0 / err 0) | 32.1 v/s | ETA 0:26:21
[08/11 09:14:04][INFO] __main__:  152:   [train] 16300/67013 (+16300 / skipped 0 / err 0) | 32.1 v/s | ETA 0:26:18
[08/11 09:14:08][INFO] __main__:  152:   [train] 16400/67013 (+16400 / skipped 0 / err 0) | 32.1 v/s | ETA 0:26:15
[08/11 09:14:11][INFO] __main__:  152:   [train] 16500/67013 (+16500 / skipped 0 / err 0) | 32.1 v/s | ETA 0:26:12
[08/11 09:14:14][INFO] __main__:  152:   [train] 16600/67013 (+16600 / skipped 0 / err 0) | 32.1 v/s | ETA 0:26:09
[08/11 09:14:17][INFO] __main__:  152:   [train] 16700/67013 (+16700 / skipped 0 / err 0) | 32.1 v/s | ETA 0:26:06
[08/11 09:14:20][INFO] __main__:  152:   [train] 16800/67013 (+16800 / skipped 0 / err 0) | 32.1 v/s | ETA 0:26:03
[08/11 09:14:23][INFO] __main__:  152:   [train] 16900/67013 (+16900 / skipped 0 / err 0) | 32.1 v/s | ETA 0:25:59
[08/11 09:14:26][INFO] __main__:  152:   [train] 17000/67013 (+17000 / skipped 0 / err 0) | 32.1 v/s | ETA 0:25:56
[08/11 09:14:29][INFO] __main__:  152:   [train] 17100/67013 (+17100 / skipped 0 / err 0) | 32.1 v/s | ETA 0:25:53
[08/11 09:14:32][INFO] __main__:  152:   [train] 17200/67013 (+17200 / skipped 0 / err 0) | 32.1 v/s | ETA 0:25:50
[08/11 09:14:36][INFO] __main__:  152:   [train] 17300/67013 (+17300 / skipped 0 / err 0) | 32.1 v/s | ETA 0:25:47
[08/11 09:14:39][INFO] __main__:  152:   [train] 17400/67013 (+17400 / skipped 0 / err 0) | 32.1 v/s | ETA 0:25:44
[08/11 09:14:42][INFO] __main__:  152:   [train] 17500/67013 (+17500 / skipped 0 / err 0) | 32.1 v/s | ETA 0:25:41
[08/11 09:14:45][INFO] __main__:  152:   [train] 17600/67013 (+17600 / skipped 0 / err 0) | 32.1 v/s | ETA 0:25:38
[08/11 09:14:48][INFO] __main__:  152:   [train] 17700/67013 (+17700 / skipped 0 / err 0) | 32.1 v/s | ETA 0:25:34
[08/11 09:14:51][INFO] __main__:  152:   [train] 17800/67013 (+17800 / skipped 0 / err 0) | 32.1 v/s | ETA 0:25:31
[08/11 09:14:54][INFO] __main__:  152:   [train] 17900/67013 (+17900 / skipped 0 / err 0) | 32.1 v/s | ETA 0:25:28
[08/11 09:14:57][INFO] __main__:  152:   [train] 18000/67013 (+18000 / skipped 0 / err 0) | 32.1 v/s | ETA 0:25:25
[08/11 09:15:00][INFO] __main__:  152:   [train] 18100/67013 (+18100 / skipped 0 / err 0) | 32.1 v/s | ETA 0:25:22
[08/11 09:15:04][INFO] __main__:  152:   [train] 18200/67013 (+18200 / skipped 0 / err 0) | 32.1 v/s | ETA 0:25:19
[08/11 09:15:07][INFO] __main__:  152:   [train] 18300/67013 (+18300 / skipped 0 / err 0) | 32.1 v/s | ETA 0:25:16
[08/11 09:15:10][INFO] __main__:  152:   [train] 18400/67013 (+18400 / skipped 0 / err 0) | 32.1 v/s | ETA 0:25:13
[08/11 09:15:13][INFO] __main__:  152:   [train] 18500/67013 (+18500 / skipped 0 / err 0) | 32.1 v/s | ETA 0:25:10
[08/11 09:15:16][INFO] __main__:  152:   [train] 18600/67013 (+18600 / skipped 0 / err 0) | 32.1 v/s | ETA 0:25:06
[08/11 09:15:19][INFO] __main__:  152:   [train] 18700/67013 (+18700 / skipped 0 / err 0) | 32.1 v/s | ETA 0:25:03
[08/11 09:15:22][INFO] __main__:  152:   [train] 18800/67013 (+18800 / skipped 0 / err 0) | 32.1 v/s | ETA 0:25:00
[08/11 09:15:25][INFO] __main__:  152:   [train] 18900/67013 (+18900 / skipped 0 / err 0) | 32.1 v/s | ETA 0:24:57
[08/11 09:15:28][INFO] __main__:  152:   [train] 19000/67013 (+19000 / skipped 0 / err 0) | 32.1 v/s | ETA 0:24:54
